H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
3,test,Static-Graph Ridge,90,37.66999816894531,22.771474838256836,46.990617830184995,2301,4.0,,,,,,,,,,,,,
3,test,Static-Graph Ridge,95,44.984493255615234,31.449735641479492,63.69393214575074,1150,4.0,,,,,,,,,,,,,
3,test,Static-Graph Ridge,99,61.66539001464844,65.21351623535156,133.774187357371,230,4.0,,,,,,,,,,,,,
3,test,Tuned Huber Graph,90,37.66999816894531,21.420995296432917,47.854324899640254,2301,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,,,,,,,,,
3,test,Tuned Huber Graph,95,44.984493255615234,29.24913887260998,63.21747744047474,1150,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,,,,,,,,,
3,test,Tuned Huber Graph,99,61.66539001464844,61.89001469574184,133.24181924440853,230,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,,,,,,,,,
3,test,Tuned Hybrid (Graph + XGB residual),90,37.66999816894531,18.298326177923045,45.850108704763414,2301,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,3.0,0.058611769260479125,0.9990024495491234,0.6490574829405633,6.762792635635671,437.0,2.773236786422067,6.3633856978706484,19.565691584052754
3,test,Tuned Hybrid (Graph + XGB residual),95,44.984493255615234,24.39019477799989,61.331342524867416,1150,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,3.0,0.058611769260479125,0.9990024495491234,0.6490574829405633,6.762792635635671,437.0,2.773236786422067,6.3633856978706484,19.565691584052754
3,test,Tuned Hybrid (Graph + XGB residual),99,61.66539001464844,53.642119197620815,130.88320909152867,230,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,3.0,0.058611769260479125,0.9990024495491234,0.6490574829405633,6.762792635635671,437.0,2.773236786422067,6.3633856978706484,19.565691584052754
3,test,XGB,90,37.66999816894531,18.238075256347656,44.78630766754709,2301,,,,,,,,,,,,,,
