H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
12,test,Tuned-Hybrid,95,286.0,105.96068057501842,146.5904529940524,2560,0.0,44.87773043860494
12,test,Tuned-Hybrid,99,453.0,205.21592603114215,254.18260257843625,513,0.0,44.87773043860494
12,test,XGB,90,223.0,123.4249038696289,154.77801644613487,5161,,
12,test,XGB,95,286.0,166.40274047851562,198.1237184501139,2560,,
12,test,XGB,99,453.0,287.0224914550781,316.84082655964653,513,,
24,test,Huber,90,223.0,199.47968614492265,219.08158611067662,5161,,
24,test,Huber,95,286.0,258.84134272476814,274.50283143094936,2560,,
24,test,Huber,99,453.0,391.01954957663446,401.39305207143497,513,,
24,test,Huber-Graph,90,223.0,193.96978028580932,213.86379576766163,5161,0.0,
24,test,Huber-Graph,95,286.0,252.5627924760674,268.47240505728905,2560,0.0,
24,test,Huber-Graph,99,453.0,385.7544545069297,396.53390947251023,513,0.0,
24,test,Hybrid,90,223.0,104.86151829622945,138.4169917318298,5161,0.0,
24,test,Hybrid,95,286.0,138.83640785621202,175.7491390624623,2560,0.0,
24,test,Hybrid,99,453.0,248.0623015754184,284.2640425754326,513,0.0,
24,test,RF,90,223.0,165.36456368673123,191.84128169151433,5161,,
24,test,RF,95,286.0,224.8172849404753,245.62169970401447,2560,,
24,test,RF,99,453.0,356.569691225377,371.3830686739656,513,,
24,test,Ridge,90,223.0,178.42501831054688,200.07234043277947,5161,,
24,test,Ridge,95,286.0,236.2243194580078,253.6696532278743,2560,,
24,test,Ridge,99,453.0,367.1284484863281,379.0618559351495,513,,
24,test,SG-Huber,90,223.0,193.43633504286805,213.26565787087338,5161,0.0,
24,test,SG-Huber,95,286.0,251.96174058490942,267.81545054595244,2560,0.0,
24,test,SG-Huber,99,453.0,385.1846351778123,395.90331502648263,513,0.0,
24,test,SG-Ridge,90,223.0,175.60000610351562,197.22842285342648,5161,0.0,
24,test,SG-Ridge,95,286.0,232.614013671875,250.13221503836726,2560,0.0,
24,test,SG-Ridge,99,453.0,365.0889892578125,377.0979440079195,513,0.0,
24,test,Tuned-Huber-Graph,90,223.0,193.64315693930843,213.5256987902423,5161,0.0,58.01452692374161
24,test,Tuned-Huber-Graph,95,286.0,252.20377745380748,268.10120026594967,2560,0.0,58.01452692374161
24,test,Tuned-Huber-Graph,99,453.0,385.4534743547075,396.20583817728385,513,0.0,58.01452692374161
24,test,Tuned-Hybrid,90,223.0,93.58853041797666,128.52670758900882,5161,0.0,58.01452692374161
24,test,Tuned-Hybrid,95,286.0,122.5667332277616,163.0364735490912,2560,0.0,58.01452692374161
24,test,Tuned-Hybrid,99,453.0,232.07092393073214,273.29186339617183,513,0.0,58.01452692374161
24,test,XGB,90,223.0,156.9199981689453,188.3476153784539,5161,,
24,test,XGB,95,286.0,217.06289672851562,242.79239781652967,2560,,
24,test,XGB,99,453.0,357.0466003417969,372.5711760858588,513,,
