H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
12,test,Huber,99,3.0876951217651367,1.5867454470886824,1.9340424924516721,363,,
12,test,Huber-Graph,90,1.590000033378601,0.7266429608626696,0.9589556631613263,3659,0.0,
12,test,Huber-Graph,95,1.940000057220459,1.0062704917964411,1.2442754001675935,1816,0.0,
12,test,Huber-Graph,99,3.0876951217651367,1.6422303008637382,1.9660709969271792,363,0.0,
12,test,Hybrid,90,1.590000033378601,0.6697128007185682,0.9192554146498518,3659,0.0,
12,test,Hybrid,95,1.940000057220459,0.8991770260919326,1.173999978746389,1816,0.0,
12,test,Hybrid,99,3.0876951217651367,1.5879513298665013,1.904201289307677,363,0.0,
12,test,RF,90,1.590000033378601,0.6727564443364447,0.9514265865290759,3659,,
12,test,RF,95,1.940000057220459,0.9527613532840461,1.238847458658022,1816,,
12,test,RF,99,3.0876951217651367,1.6340908746885245,1.9502878862247346,363,,
12,test,Ridge,90,1.590000033378601,0.6659764647483826,0.9110175383854976,3659,,
12,test,Ridge,95,1.940000057220459,0.9345461130142212,1.1885747061886633,1816,,
12,test,Ridge,99,3.0876951217651367,1.5448154211044312,1.890729223483959,363,,
12,test,SG-Huber,90,1.590000033378601,0.7302983293640065,0.9628592757093836,3659,0.0,
12,test,SG-Huber,95,1.940000057220459,1.0198813613718487,1.252825736652575,1816,0.0,
12,test,SG-Huber,99,3.0876951217651367,1.6554908241724062,1.9714155262638031,363,0.0,
12,test,SG-Ridge,90,1.590000033378601,0.685459315776825,0.9205893263732403,3659,0.0,
12,test,SG-Ridge,95,1.940000057220459,0.9693151116371155,1.2035800519151616,1816,0.0,
12,test,SG-Ridge,99,3.0876951217651367,1.5883656740188599,1.9131906820522944,363,0.0,
12,test,Tuned-Huber-Graph,90,1.590000033378601,0.7276951445156726,0.9594789631570783,3659,0.0,4.694168611497207
12,test,Tuned-Huber-Graph,95,1.940000057220459,1.0095993746818208,1.2458428234668972,1816,0.0,4.694168611497207
12,test,Tuned-Huber-Graph,99,3.0876951217651367,1.64594288138062,1.9671518077927663,363,0.0,4.694168611497207
12,test,Tuned-Hybrid,90,1.590000033378601,0.6593307881315164,0.8794093823125527,3659,0.0,4.694168611497207
12,test,Tuned-Hybrid,95,1.940000057220459,0.8331959326257854,1.0887606812997013,1816,0.0,4.694168611497207
12,test,Tuned-Hybrid,99,3.0876951217651367,1.3632497636511478,1.6891232396123275,363,0.0,4.694168611497207
12,test,XGB,90,1.590000033378601,0.6682044863700867,0.9443611528251146,3659,,
12,test,XGB,95,1.940000057220459,0.9397825002670288,1.229452191612043,1816,,
12,test,XGB,99,3.0876951217651367,1.6399130821228027,1.9656959338951334,363,,
24,test,Huber,90,1.590000033378601,0.9748588049042735,1.227408130536224,3659,,
24,test,Huber,95,1.940000057220459,1.3611320444903976,1.6022665967368999,1816,,
24,test,Huber,99,3.0876951217651367,2.3933611475898964,2.6271879682985064,363,,
